pastgame_GD,Fitted
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
-1.75,-1.6952238145847067
